Stat_ID;Easting_X;Norting_Y;Altitude;Longitude;Latitude;catArea;flowAcc;rel_err[%];row;column;Bl_ID;Start_Date;End_Date;State;data_avail;nxtGage;Station_Name;River;dem_mean;dem_std;dem_min;dem_max;LC-forest;LC-impervious;LC-permeable;WB_from_year;WB_to_year;Qobs[mm_a-1];Precip[mm_a-1];PET[mm_a-1];NSE-Q_v4.3_d;Qsim[mm_a-1];AET[mm_a-1]
9316434;4425950;5569750;282.13;10.96;50.26;365;361.7;0.91;5503;3880;27;1925-11-01;1984-10-31;DE;91.53%;-999;COBURG-GUETERBAHNHOF;ITZ;452.35;132.69;290.34;864.63;43.72;8.38;47.90;1955;1983;435.82;853.74;699.45;0.71;361.18;507.65
9316436;4416550;5542050;242.11;10.85;50.01;383;365.9;4.46;5780;3786;27;1929-11-01;2007-09-30;DE;98.71%;-999;LEUCHERHOF;BAUNACH;344.90;47.89;243.23;509.21;49.51;1.93;48.56;1955;2006;197.92;700.88;781.28;0.55;165.47;535.35
9316437;4424050;5523050;241.84;10.94;49.84;7005;7020.9;0.23;5970;3861;27;1976-01-01;1978-12-31;DE;99.91%;-999;PETTSTADT;REGNITZ;397.57;74.82;240.64;643.14;37.69;7.26;55.05;1976;1978;182.88;727;774.13;-1.22;185.58;509.43
9316438;4426759.17;5478491.81;290.22;10.99;49.44;1845;1841.9;0.17;6416;3888;28;1960-01-01;1995-12-31;DE;100.00%;-999;NEUMUEHLE;REDNITZ;416.89;55.57;290.38;635.74;38.91;9.00;52.09;1960;1995;194.56;729.26;777.38;0.66;188.5;538.21
9316439;4454976.1;5470401.89;373.99;11.38;49.37;209;207.1;0.91;6496;4170;37;1920-11-01;1995-12-31;DE;97.34%;-999;RASCH;SCHWARZACH;488.00;60.82;377.68;620.81;33.74;9.19;57.07;1955;1995;316.9;882.46;766.21;0.69;331.92;550.19
9316440;4431850;5480350;293.03;11.06;49.46;1192;1161.8;2.53;6397;3939;28;1976-01-01;1978-12-31;DE;99.91%;-999;NURNBERG;PEGNITZ;452.48;73.41;293.06;643.14;52.31;6.12;41.57;1976;1978;254.11;841.58;761.69;-4.05;292.85;515.97
9316441;4429050;5496750;272.99;11.02;49.61;185;192;3.77;6233;3911;28;1935-11-01;1983-10-31;DE;95.84%;-999;ERLANGEN;SCHWABACH;378.54;69.07;271.30;549.07;25.67;9.93;64.40;1955;1982;244.22;787.71;781.52;0.65;246.35;540.89
9316444;4422950;5510650;259.31;10.93;49.73;954;945.8;0.86;6094;3850;28;1976-01-01;1978-12-31;DE;99.91%;-999;LAUFERMUHLE;AISCH;337.36;39.59;256.68;520.14;32.37;3.57;64.07;1976;1978;113.14;649.97;778.97;-0.09;110.7;504.21
9316445;4420050;5517850;256.92;10.89;49.8;269;267.4;0.61;6022;3821;28;1913-11-01;1983-05-31;DE;91.26%;-999;HERRNSDORF;REICHE-EBRACH;341.75;46.78;256.62;478.51;35.17;2.46;62.37;1955;1982;183.45;713.23;780.12;0.6;176.41;536.56
9316447;4339150;5486650;199.68;9.78;49.5;1013;963.9;4.85;6334;3012;28;1929-11-01;1996-10-31;DE;99.68%;-999;BAD-MERGENTHEIM;TAUBER;380.77;60.90;201.87;545.97;18.34;2.80;78.86;1955;1995;201.14;708.24;774.27;0.6;186.87;522.26
9316452;4259550;5496150;-99;8.68;49.55;176.1;175.9;0.11;6239;2216;19;1955-11-01;2007-10-31;DE;99.86%;-999;WEINHEIM;WESCHNITZ;295.86;95.26;108.53;573.95;37.19;9.47;53.34;1956;2006;587.71;994.77;750.83;0.69;448.26;546.99
9316453;4252650;5509250;93.94;8.57;49.67;382.8;420.6;9.88;6108;2147;19;1957-11-01;1995-12-31;DE;100.00%;-999;LORSCH;WESSNITZ;222.61;118.86;94.16;573.95;33.44;13.50;53.07;1958;1995;244.09;889.22;766.8;0.17;345.54;543.15
